idx,spf,ppd,upc,uppcc,apt,deg
0,0.0,1.0,0.71,0.85,0.21,5.0
1,0.56,1.42,0.65,0.77,0.32,34.17
2,0.72,1.48,0.65,0.81,0.31,93.17
4,0.73,1.72,0.74,0.88,0.29,48.75
8,0.29,1.18,0.68,0.75,0.25,93.0
9,0.5,1.01,0.82,0.84,0.5,60.0
10,0.0,1.0,0.54,0.67,0.14,6.0
12,0.59,1.5,0.68,0.82,0.28,101.77
14,0.67,1.28,0.73,0.81,0.26,38.22
15,0.54,1.53,0.59,0.75,0.19,90.87
17,0.0,1.0,0.41,0.59,0.12,2.0
18,0.0,1.0,0.62,0.75,0.08,38.0
19,0.0,1.0,0.89,0.91,0.82,43.0
20,0.0,1.0,0.43,0.86,0.14,1.0
22,0.86,2.04,0.66,0.89,0.19,36.44
24,0.57,1.42,0.68,0.81,0.33,95.36
25,0.09,1.05,0.61,0.71,0.19,102.86
26,0.75,1.56,0.78,0.92,0.31,52.67
27,0.77,1.94,0.64,0.86,0.25,59.82
29,0.0,1.0,1.0,1.0,1.0,1.0
32,0.22,1.11,0.61,0.7,0.2,37.88
34,0.4,1.33,0.74,0.84,0.4,101.17
36,0.11,1.06,0.53,0.61,0.29,76.5
37,0.0,1.0,0.65,0.69,0.07,6.0
38,0.76,1.82,0.65,0.82,0.28,209.79
39,0.02,1.01,0.79,0.83,0.57,76.0
40,0.85,2.03,0.56,0.81,0.19,73.36
42,0.75,1.73,0.68,0.85,0.31,99.12
44,0.76,1.89,0.64,0.84,0.19,30.24
45,0.65,1.57,0.71,0.87,0.35,147.0
48,0.59,1.59,0.72,0.86,0.31,87.86
50,0.84,1.97,0.62,0.84,0.17,33.19
51,0.51,1.36,0.58,0.69,0.25,25.0
53,0.62,1.5,0.71,0.84,0.35,65.5
54,0.0,1.0,0.65,0.75,0.5,13.0
56,0.0,1.0,0.57,0.7,0.14,32.0
57,0.67,1.59,0.64,0.78,0.29,84.91
58,0.59,1.64,0.69,0.84,0.33,121.8
61,0.0,1.0,0.76,0.8,0.62,53.0
62,0.66,1.64,0.71,0.86,0.41,164.25
64,0.71,1.61,0.67,0.83,0.33,210.67
66,0.0,1.0,0.58,0.58,0.4,2.0
67,0.61,1.51,0.66,0.81,0.37,248.0
69,0.75,1.95,0.67,0.87,0.3,134.4
70,0.0,1.0,0.68,0.72,0.42,121.0
71,0.38,1.22,0.74,0.81,0.46,123.6
74,0.01,1.01,0.65,0.7,0.46,90.5
75,0.57,1.57,0.7,0.84,0.39,92.75
77,0.92,2.94,0.54,0.9,0.13,21.12
78,0.0,1.0,1.0,1.0,1.0,1.0
81,0.56,1.49,0.59,0.72,0.23,264.14
83,0.53,1.48,0.64,0.76,0.28,206.5
84,0.0,1.0,0.54,0.59,0.11,6.0
85,0.71,1.49,0.74,0.88,0.31,69.2
88,0.0,1.0,1.0,1.0,1.0,1.0
89,0.6,1.9,0.57,0.79,0.21,32.68
90,0.0,1.0,0.64,0.92,0.06,3.0
