idx,spf,ppd,upc,uppcc,apt,deg
442,0.0,1.0,0.6,0.73,0.3,6.0
443,0.0,1.0,0.8,0.8,0.2,1.0
445,0.62,1.2,0.72,0.79,0.24,50.0
449,0.72,1.7,0.71,0.88,0.32,90.89
450,0.82,1.82,0.55,0.75,0.19,137.43
451,0.61,1.58,0.71,0.85,0.35,72.7
452,0.45,1.39,0.68,0.8,0.35,58.67
453,0.4,1.24,0.7,0.79,0.34,141.25
454,0.0,1.0,0.58,0.68,0.14,12.0
455,0.74,1.7,0.61,0.76,0.24,80.5
456,0.47,1.43,0.77,0.89,0.31,46.4
460,0.84,2.06,0.6,0.81,0.21,34.92
461,0.65,1.63,0.62,0.7,0.35,20.67
462,0.7,1.69,0.8,0.97,0.34,23.3
466,0.7,1.88,0.64,0.83,0.26,89.0
467,0.0,1.0,0.6,0.69,0.2,158.0
468,0.0,1.0,0.57,0.57,0.44,5.0
469,0.13,1.07,0.56,0.62,0.31,333.0
470,0.53,1.61,0.74,0.91,0.35,49.8
473,0.0,1.0,0.79,0.82,0.55,64.0
477,0.0,1.0,0.62,0.65,0.43,75.0
478,0.47,1.01,0.74,0.78,0.39,84.0
479,0.58,1.28,0.62,0.71,0.26,61.25
480,0.0,1.0,0.35,0.49,0.22,6.0
481,0.66,1.67,0.64,0.79,0.29,310.86
484,0.5,1.33,0.42,0.68,0.06,2.67
485,0.54,1.15,0.61,0.68,0.23,175.4
488,0.63,1.48,0.73,0.85,0.35,196.29
489,0.79,1.99,0.65,0.88,0.27,48.85
490,0.66,1.75,0.59,0.81,0.28,155.67
492,0.58,1.41,0.69,0.81,0.41,231.5
494,0.0,1.0,0.48,0.54,0.24,6.0
495,0.64,1.53,0.71,0.84,0.32,44.62
496,0.43,1.24,0.72,0.8,0.37,203.67
498,0.87,2.24,0.64,0.9,0.22,39.11
499,0.69,1.83,0.6,0.77,0.22,244.5
500,0.66,1.59,0.68,0.82,0.29,49.17
502,0.61,1.51,0.62,0.76,0.24,106.11
504,0.76,1.78,0.59,0.78,0.22,73.38
505,0.0,1.0,0.43,0.71,0.14,1.0
506,0.74,1.77,0.62,0.8,0.27,199.2
507,0.66,1.54,0.7,0.83,0.33,91.31
509,0.0,1.0,0.42,0.58,0.4,2.0
511,0.0,1.0,0.41,0.57,0.16,10.0
512,0.68,1.61,0.79,0.93,0.42,118.86
515,0.21,1.1,0.67,0.75,0.38,130.0
518,0.74,1.55,0.74,0.89,0.34,81.67
519,0.8,1.93,0.65,0.87,0.24,129.12
521,0.84,2.2,0.59,0.84,0.22,86.42
523,0.62,1.71,0.52,0.68,0.15,100.78
524,0.44,1.39,0.69,0.79,0.38,40.0
526,0.56,1.34,0.72,0.82,0.4,121.0
527,0.55,1.18,0.8,0.86,0.43,109.0
529,0.0,1.0,0.52,0.52,0.11,3.0
530,0.71,1.77,0.63,0.81,0.27,111.83
531,0.0,1.0,0.54,0.66,0.2,4.0
