idx,spf,ppd,upc,uppcc,apt,deg
1,0.0,1.0,0.67,0.67,0.57,3.0
2,0.0,1.0,1.0,1.0,1.0,1.0
4,0.0,1.0,0.5,0.67,0.25,2.0
5,0.68,1.55,0.72,0.85,0.27,28.85
7,0.73,1.57,0.69,0.87,0.37,73.67
8,0.64,1.49,0.74,0.88,0.37,91.25
9,0.65,1.51,0.7,0.84,0.36,167.0
10,0.88,2.45,0.53,0.86,0.21,17.51
11,0.26,1.14,0.62,0.71,0.37,20.5
14,0.25,1.15,0.62,0.7,0.26,36.8
17,0.01,1.0,0.57,0.65,0.37,117.0
20,0.0,1.0,0.6,0.68,0.29,325.0
21,0.0,1.0,0.51,0.59,0.2,17.0
22,0.0,1.0,0.51,0.64,0.16,16.0
26,0.0,1.0,0.6,0.69,0.33,60.0
27,0.6,1.42,0.68,0.81,0.37,191.2
28,0.0,1.0,0.65,0.75,0.57,20.0
30,0.0,1.0,1.0,1.0,1.0,1.0
31,0.0,1.0,1.0,1.0,1.0,1.0
33,0.0,1.0,1.0,1.0,1.0,22.0
34,0.66,1.52,0.62,0.78,0.23,93.29
35,0.5,1.17,0.74,0.82,0.3,48.94
37,0.45,1.31,0.68,0.78,0.34,114.0
38,0.68,1.51,0.69,0.84,0.31,24.33
40,0.0,1.0,1.0,1.0,1.0,2.0
42,0.79,1.85,0.58,0.83,0.21,5.97
43,0.0,1.0,0.57,0.69,0.11,5.0
46,0.0,1.0,0.59,0.74,0.3,12.0
48,0.53,1.56,0.66,0.82,0.3,116.0
49,0.7,1.37,0.74,0.84,0.27,19.67
50,0.6,1.53,0.64,0.8,0.28,137.45
51,0.0,1.0,0.76,0.83,0.44,75.0
52,0.54,1.42,0.75,0.86,0.29,33.12
54,0.81,1.96,0.58,0.8,0.25,75.2
55,0.63,1.5,0.62,0.78,0.23,96.75
57,0.67,1.57,0.74,0.89,0.35,222.38
61,0.29,1.15,0.66,0.75,0.25,68.33
62,0.64,1.69,0.7,0.89,0.31,108.6
63,0.52,1.44,0.74,0.86,0.42,123.86
67,1.0,2.0,0.5,1.0,0.5,1.0
69,0.0,1.0,0.49,0.52,0.23,6.0
70,0.7,1.91,0.71,0.9,0.28,61.07
72,0.0,1.0,0.74,0.74,0.51,18.0
74,1.0,3.0,0.33,1.0,0.33,1.0
75,0.75,2.13,0.58,0.82,0.21,265.12
77,0.0,1.0,0.86,0.87,0.76,367.0
79,0.02,1.01,0.53,0.62,0.24,106.5
80,0.64,1.59,0.66,0.82,0.26,73.18
81,0.0,1.0,0.49,0.61,0.23,41.0
82,0.66,1.68,0.71,0.87,0.38,216.0
83,0.0,1.0,1.0,1.0,1.0,1.0
86,0.28,1.05,0.64,0.72,0.32,33.0
87,0.71,1.78,0.71,0.89,0.32,96.0
88,0.42,1.28,0.81,0.89,0.55,116.0
91,0.69,1.6,0.65,0.81,0.27,111.57
92,0.58,1.4,0.68,0.84,0.25,60.8
93,0.78,1.67,0.66,0.85,0.23,21.92
94,0.82,2.05,0.54,0.73,0.16,10.35
95,0.76,1.86,0.64,0.85,0.26,140.67
98,0.0,1.0,0.55,0.75,0.19,4.0
102,0.27,1.12,0.57,0.72,0.2,87.35
105,0.0,1.0,0.5,0.69,0.4,4.0
106,0.0,1.0,0.51,0.66,0.14,58.0
107,0.04,1.01,0.59,0.71,0.22,145.5
108,0.82,2.07,0.66,0.88,0.25,82.43
109,0.63,1.53,0.75,0.88,0.4,140.29
111,0.0,1.0,0.64,0.68,0.24,10.0
113,0.65,1.54,0.62,0.78,0.2,38.93
114,0.73,1.98,0.66,0.87,0.26,86.33
115,0.12,1.03,0.61,0.7,0.28,76.0
117,0.25,1.01,0.64,0.74,0.56,74.5
119,0.64,1.57,0.71,0.84,0.35,122.0
120,0.0,1.0,0.46,0.46,0.15,3.0
122,0.0,1.0,0.31,0.52,0.13,2.0
123,0.09,1.01,0.67,0.74,0.28,149.0
124,0.0,1.0,0.38,0.61,0.07,9.0
125,0.31,1.26,0.63,0.76,0.3,214.0
127,0.27,1.16,0.7,0.75,0.38,206.25
128,0.66,1.4,0.69,0.82,0.31,23.62
129,0.0,1.0,0.58,0.71,0.12,3.0
130,0.0,1.0,1.0,1.0,1.0,3.0
131,0.68,1.58,0.71,0.86,0.35,193.0
132,0.75,1.5,0.42,0.58,0.37,1.5
133,0.0,1.0,1.0,1.0,1.0,1.0
134,0.76,1.72,0.67,0.86,0.27,104.62
138,0.14,1.07,0.71,0.75,0.38,127.33
139,0.64,1.56,0.71,0.87,0.43,128.25
140,0.59,1.46,0.73,0.85,0.33,76.31
141,0.64,1.52,0.75,0.87,0.31,55.06
142,0.0,1.0,0.81,0.84,0.67,217.0
143,0.06,1.03,0.59,0.72,0.11,72.67
146,0.0,1.0,1.0,1.0,1.0,1.0
147,0.63,1.6,0.58,0.74,0.25,60.47
148,0.77,1.63,0.7,0.87,0.26,42.8
149,0.66,1.67,0.69,0.85,0.26,81.93
150,0.62,1.42,0.68,0.79,0.28,80.33
154,0.42,1.26,0.57,0.7,0.25,21.5
155,0.0,1.0,0.54,0.69,0.18,84.0
156,0.0,1.0,0.52,0.55,0.17,3.0
157,0.0,1.0,0.71,0.71,0.54,2.0
158,0.73,1.89,0.63,0.85,0.26,73.91
159,0.79,1.8,0.67,0.86,0.31,105.5
161,0.72,1.18,0.72,0.8,0.26,39.0
162,0.74,1.34,0.74,0.86,0.31,59.4
164,0.76,1.95,0.67,0.9,0.27,68.58
165,0.0,1.0,0.54,0.74,0.25,3.0
166,0.0,1.0,0.72,0.9,0.09,3.0
167,0.67,1.63,0.67,0.83,0.29,72.8
169,0.0,1.0,0.5,0.5,0.12,3.0
170,0.77,2.01,0.62,0.84,0.22,101.33
171,0.76,2.09,0.56,0.81,0.23,120.18
173,0.0,1.0,0.6,0.75,0.22,16.0
175,0.54,1.31,0.82,0.91,0.55,147.5
176,0.63,1.58,0.71,0.86,0.38,146.58
178,0.6,1.45,0.69,0.82,0.35,206.57
179,0.0,1.0,0.5,0.5,0.5,1.0
182,0.0,1.0,0.56,0.68,0.19,25.0
184,0.21,1.11,0.55,0.64,0.19,29.4
185,0.79,2.04,0.66,0.89,0.25,86.86
186,0.78,1.92,0.68,0.88,0.28,140.29
188,0.58,1.3,0.69,0.8,0.34,79.0
190,0.0,1.0,0.56,0.62,0.2,15.0
191,0.8,2.15,0.64,0.89,0.26,167.39
193,0.8,1.84,0.59,0.8,0.23,98.62
197,0.0,1.0,0.61,0.7,0.2,41.0
198,0.0,1.0,0.85,0.87,0.71,71.0
201,0.02,1.01,0.59,0.67,0.33,47.5
202,0.47,1.4,0.71,0.83,0.38,77.6
203,0.57,1.4,0.74,0.84,0.34,55.0
204,0.3,1.11,0.69,0.75,0.3,85.71
205,0.0,1.0,0.5,0.65,0.15,6.0
208,0.04,1.02,0.6,0.72,0.12,23.0
209,0.75,1.5,0.25,0.42,0.19,1.5
210,0.0,1.0,0.48,0.61,0.26,9.0
211,0.01,1.0,0.62,0.71,0.19,142.5
213,0.8,1.79,0.63,0.81,0.23,176.0
214,0.47,1.35,0.81,0.9,0.37,87.57
216,0.0,1.0,0.45,0.71,0.11,7.0
217,0.0,1.0,1.0,1.0,1.0,2.0
218,0.79,1.9,0.63,0.83,0.26,72.68
220,0.87,2.47,0.54,0.87,0.24,11.97
224,0.0,1.0,0.33,0.67,0.33,1.0
225,0.0,1.0,0.42,0.52,0.08,3.0
226,0.52,1.4,0.53,0.68,0.2,93.89
227,0.0,1.0,1.0,1.0,1.0,1.0
228,0.69,1.56,0.71,0.86,0.33,118.0
229,0.57,1.43,0.74,0.86,0.48,123.33
230,0.61,1.54,0.67,0.81,0.31,99.69
235,0.47,1.29,0.67,0.79,0.34,84.0
237,0.04,1.02,0.55,0.65,0.2,27.0
242,0.12,1.06,0.78,0.82,0.59,112.5
243,0.54,1.41,0.75,0.86,0.47,166.17
244,0.65,1.59,0.71,0.85,0.34,62.56
245,0.6,1.58,0.65,0.82,0.33,146.0
249,0.36,1.15,0.71,0.77,0.36,59.0
250,0.71,1.94,0.62,0.84,0.21,36.54
251,0.28,1.16,0.77,0.84,0.52,76.29
252,0.67,1.48,0.68,0.84,0.23,37.33
253,0.78,2.04,0.66,0.89,0.31,101.09
254,0.0,1.0,1.0,1.0,1.0,2.0
256,0.0,1.0,1.0,1.0,1.0,1.0
257,0.64,1.45,0.73,0.87,0.42,103.67
258,0.77,2.11,0.56,0.82,0.21,52.44
260,0.65,1.6,0.67,0.82,0.33,157.6
262,0.0,1.0,1.0,1.0,1.0,1.0
263,0.0,1.0,0.75,0.75,0.13,2.0
265,0.0,1.0,0.69,0.73,0.12,3.0
266,0.68,1.31,0.81,0.89,0.45,37.25
267,0.0,1.0,0.78,0.79,0.64,247.0
268,0.66,1.63,0.64,0.82,0.33,178.27
269,0.66,1.82,0.67,0.86,0.34,116.71
271,0.11,1.04,0.63,0.72,0.28,133.0
273,0.71,1.34,0.85,0.94,0.38,58.85
274,0.77,1.82,0.68,0.87,0.28,187.16
277,0.71,1.53,0.63,0.78,0.23,57.62
280,0.0,1.0,0.76,0.76,0.18,2.0
281,0.52,1.41,0.57,0.69,0.24,277.4
282,0.64,1.36,0.73,0.85,0.37,41.32
285,0.0,1.0,0.49,0.67,0.12,28.0
286,0.44,1.35,0.52,0.66,0.18,204.57
287,0.0,1.0,0.5,0.5,0.5,1.0
290,0.0,1.0,0.54,0.62,0.24,4.0
291,0.47,1.32,0.74,0.83,0.38,148.4
292,0.06,1.03,0.68,0.74,0.28,174.75
293,0.0,1.0,0.37,0.56,0.29,7.0
295,0.0,1.0,0.59,0.64,0.37,118.0
297,0.68,1.58,0.69,0.83,0.32,87.86
298,0.57,1.21,0.81,0.87,0.45,115.0
301,0.0,1.0,0.41,0.65,0.11,4.0
303,0.0,1.0,0.84,0.85,0.7,136.0
308,0.51,1.21,0.7,0.78,0.25,21.81
309,0.02,1.0,0.84,0.86,0.47,117.5
310,0.53,1.34,0.66,0.77,0.32,71.5
311,0.0,1.0,0.57,0.57,0.14,1.0
312,0.0,1.0,1.0,1.0,1.0,1.0
315,0.42,1.29,0.67,0.76,0.42,179.8
316,0.86,2.2,0.55,0.83,0.19,32.5
318,0.77,1.79,0.66,0.86,0.27,62.71
321,0.0,1.0,0.57,0.69,0.21,67.0
322,0.0,1.0,0.59,0.81,0.09,11.0
323,0.79,1.8,0.67,0.85,0.27,60.1
324,0.0,1.0,0.59,0.71,0.19,13.0
325,0.63,1.45,0.72,0.83,0.3,63.67
327,0.0,1.0,0.57,0.67,0.23,20.0
329,0.76,2.05,0.66,0.91,0.24,63.3
330,0.76,1.94,0.62,0.83,0.25,140.75
333,0.13,1.03,0.53,0.69,0.15,38.75
335,0.0,1.0,0.55,0.73,0.11,7.0
336,0.0,1.0,1.0,1.0,1.0,1.0
338,0.55,1.27,0.73,0.83,0.37,140.0
339,0.65,1.69,0.54,0.73,0.16,32.89
342,0.0,1.0,1.0,1.0,1.0,1.0
344,0.53,1.4,0.66,0.78,0.28,72.17
345,0.49,1.41,0.68,0.81,0.36,103.0
346,0.0,1.0,0.55,0.68,0.29,9.0
347,0.76,1.67,0.67,0.85,0.29,136.88
349,0.0,1.0,1.0,1.0,1.0,1.0
350,0.65,1.82,0.67,0.85,0.25,86.73
353,0.0,1.0,0.25,0.62,0.12,1.0
354,0.25,1.13,0.57,0.71,0.16,31.5
355,0.52,1.41,0.7,0.82,0.38,124.0
356,0.0,1.0,0.7,0.74,0.43,309.0
357,0.6,1.42,0.69,0.81,0.3,131.4
358,0.17,1.08,0.72,0.77,0.36,90.67
361,0.45,1.35,0.68,0.79,0.35,109.5
362,0.53,1.32,0.8,0.88,0.41,134.33
364,0.0,1.0,0.55,0.68,0.15,60.0
365,0.21,1.05,0.65,0.73,0.32,90.0
366,0.69,1.41,0.7,0.82,0.26,64.27
367,0.74,1.59,0.64,0.79,0.24,79.57
370,0.41,1.16,0.63,0.73,0.25,47.5
371,0.8,1.75,0.62,0.83,0.26,25.55
372,0.59,1.5,0.76,0.89,0.26,69.5
374,0.0,1.0,1.0,1.0,1.0,2.0
376,0.0,1.0,1.0,1.0,1.0,1.0
378,0.76,1.92,0.64,0.86,0.22,59.31
381,0.0,1.0,1.0,1.0,1.0,1.0
382,0.69,1.42,0.78,0.89,0.36,108.6
383,0.67,1.38,0.72,0.83,0.37,129.0
384,0.73,1.91,0.61,0.82,0.22,121.88
387,0.53,1.36,0.64,0.75,0.29,91.22
388,0.63,1.32,0.82,0.9,0.35,61.67
389,0.71,1.76,0.65,0.83,0.21,92.73
391,0.66,1.67,0.62,0.8,0.29,53.15
396,0.68,1.26,0.71,0.81,0.24,28.55
397,0.69,1.73,0.65,0.84,0.31,123.17
399,0.62,1.5,0.72,0.86,0.35,105.57
400,0.63,1.32,0.76,0.86,0.37,147.25
403,0.0,1.0,0.58,0.75,0.17,12.0
405,0.77,1.8,0.63,0.84,0.24,35.14
406,0.0,1.0,0.51,0.61,0.26,409.0
409,0.76,1.72,0.59,0.78,0.23,101.0
410,0.53,1.31,0.7,0.81,0.33,75.57
411,0.57,1.52,0.71,0.85,0.35,91.16
412,0.7,1.72,0.54,0.7,0.16,120.74
413,0.78,1.42,0.63,0.79,0.22,17.18
414,0.0,1.0,0.84,0.92,0.08,1.0
415,0.83,2.14,0.5,0.78,0.27,4.28
417,0.67,1.73,0.66,0.84,0.27,55.78
418,0.65,1.62,0.64,0.82,0.27,125.24
419,0.72,1.76,0.64,0.83,0.31,136.5
422,0.47,1.33,0.71,0.82,0.46,94.8
424,0.07,1.02,0.58,0.66,0.21,27.5
425,0.75,1.65,0.66,0.83,0.25,75.82
426,0.53,1.41,0.71,0.83,0.37,106.5
432,0.66,1.61,0.71,0.85,0.31,70.91
433,0.82,1.86,0.65,0.87,0.28,95.71
434,0.19,1.1,0.59,0.72,0.18,88.67
437,0.27,1.15,0.77,0.82,0.58,62.0
439,0.81,2.06,0.64,0.88,0.23,53.93
441,0.78,2.08,0.63,0.88,0.26,93.02
444,0.0,1.0,0.52,0.64,0.34,54.0
445,0.4,1.29,0.73,0.83,0.37,67.75
447,0.41,1.25,0.65,0.73,0.35,120.5
450,0.69,1.7,0.7,0.88,0.25,43.83
454,0.52,1.36,0.68,0.79,0.28,59.0
457,0.75,2.0,0.54,0.82,0.22,20.02
458,0.73,1.77,0.7,0.88,0.29,68.47
460,0.61,1.26,0.59,0.69,0.24,45.33
461,0.8,1.94,0.61,0.86,0.23,18.73
463,0.0,1.0,0.43,0.67,0.17,9.0
465,0.72,1.63,0.64,0.81,0.29,147.17
466,0.91,2.71,0.51,0.85,0.16,9.94
467,0.66,1.55,0.66,0.81,0.26,95.08
468,0.44,1.29,0.62,0.71,0.26,154.75
469,0.0,1.0,0.49,0.73,0.14,10.0
470,0.0,1.0,1.0,1.0,1.0,2.0
471,0.34,1.15,0.8,0.86,0.59,222.33
472,0.55,1.19,0.64,0.75,0.23,48.25
473,0.72,1.52,0.74,0.87,0.27,38.4
474,0.71,1.72,0.71,0.88,0.37,111.13
475,0.0,1.0,0.41,0.56,0.26,4.0
477,0.56,1.39,0.78,0.89,0.35,74.8
478,0.22,1.12,0.66,0.75,0.3,37.5
479,0.68,1.6,0.61,0.77,0.21,73.25
480,0.76,2.02,0.61,0.85,0.22,28.73
481,0.0,1.0,0.69,0.75,0.21,11.0
483,0.0,1.0,0.25,0.5,0.25,1.0
485,0.09,1.02,0.81,0.85,0.57,41.25
486,0.0,1.0,1.0,1.0,1.0,1.0
488,0.0,1.0,0.77,0.77,0.14,2.0
489,0.61,1.64,0.67,0.84,0.35,142.5
490,0.63,1.58,0.71,0.85,0.35,105.38
493,0.0,1.0,0.59,0.66,0.35,36.0
494,0.76,2.38,0.54,0.83,0.21,15.45
495,0.66,1.54,0.68,0.83,0.29,178.57
496,0.31,1.19,0.55,0.67,0.2,200.8
498,0.74,2.22,0.6,0.86,0.34,20.55
500,0.26,1.14,0.55,0.65,0.23,45.0
501,0.65,1.57,0.68,0.85,0.34,184.29
503,0.75,1.94,0.57,0.78,0.22,506.83
504,0.61,1.51,0.68,0.83,0.36,140.85
506,0.0,1.0,0.62,0.75,0.12,44.0
508,0.25,1.07,0.62,0.7,0.26,42.8
509,0.71,1.61,0.71,0.88,0.28,87.88
510,0.0,1.0,0.75,0.75,0.29,2.0
511,0.02,1.01,0.85,0.86,0.72,276.5
513,0.0,1.0,1.0,1.0,1.0,1.0
515,0.0,1.0,0.59,0.63,0.37,12.0
516,0.66,1.23,0.71,0.8,0.3,48.14
517,0.0,1.0,0.51,0.66,0.28,21.0
518,0.59,1.48,0.62,0.79,0.28,151.75
519,0.06,1.02,0.61,0.71,0.26,109.29
520,0.55,1.38,0.69,0.81,0.41,110.0
521,0.29,1.04,0.88,0.89,0.64,76.0
523,0.62,1.57,0.7,0.85,0.37,115.5
524,0.0,1.0,0.53,0.69,0.17,24.0
525,0.76,1.85,0.65,0.85,0.27,77.14
526,0.7,1.52,0.66,0.8,0.27,76.0
528,0.77,1.62,0.74,0.91,0.26,7.43
529,0.66,1.47,0.69,0.81,0.35,68.0
530,0.77,1.95,0.65,0.86,0.26,79.05
532,0.75,1.9,0.65,0.86,0.27,131.44
533,0.49,1.35,0.74,0.84,0.36,80.18
535,0.0,1.0,0.74,0.76,0.65,10.0
538,0.0,1.0,0.5,0.59,0.28,7.0
540,0.74,1.83,0.61,0.81,0.22,41.36
541,0.61,1.58,0.69,0.85,0.3,72.62
542,0.77,1.74,0.68,0.86,0.27,107.55
