idx,spf,ppd,upc,uppcc,apt,deg
0,0.39,1.26,0.61,0.7,0.29,125.56
1,0.0,1.0,1.0,1.0,1.0,1.0
2,0.0,1.0,0.63,0.71,0.64,16.0
3,0.81,1.85,0.66,0.86,0.23,110.6
7,0.76,1.84,0.57,0.77,0.21,172.0
8,0.0,1.0,0.62,0.83,0.04,2.0
10,0.0,1.0,0.9,0.9,0.19,3.0
11,0.46,1.29,0.73,0.83,0.37,50.36
12,0.65,1.67,0.7,0.89,0.34,128.86
14,0.03,1.01,0.58,0.69,0.21,70.5
16,0.82,2.2,0.58,0.84,0.24,94.69
17,0.55,1.52,0.71,0.85,0.36,71.5
20,0.0,1.0,0.51,0.71,0.14,22.0
21,0.76,1.58,0.59,0.76,0.19,202.0
22,0.47,1.26,0.71,0.81,0.31,105.14
23,0.75,1.97,0.7,0.91,0.31,98.79
25,0.0,1.0,0.57,0.57,0.57,1.0
29,0.55,1.36,0.64,0.76,0.27,36.32
30,0.0,1.0,0.52,0.61,0.14,4.0
32,0.75,1.7,0.74,0.92,0.3,69.79
35,0.0,1.0,1.0,1.0,1.0,1.0
37,0.0,1.0,0.61,0.73,0.16,39.0
38,0.0,1.0,0.91,0.91,0.09,1.0
39,0.0,1.0,0.76,0.97,0.06,2.0
41,0.38,1.22,0.55,0.67,0.25,30.0
42,0.8,1.9,0.66,0.86,0.26,86.08
44,0.7,1.76,0.57,0.76,0.21,35.41
45,0.71,1.68,0.62,0.8,0.23,196.33
46,0.78,1.97,0.55,0.77,0.2,121.1
47,0.0,1.0,0.68,0.8,0.2,5.0
49,0.76,1.83,0.58,0.76,0.15,63.83
52,0.44,1.13,0.68,0.76,0.29,49.67
53,0.42,1.07,0.65,0.72,0.29,44.33
54,0.0,1.0,0.68,0.74,0.25,10.0
56,0.0,1.0,0.71,0.74,0.47,121.0
57,0.52,1.15,0.67,0.77,0.3,66.25
58,0.73,1.98,0.65,0.88,0.28,57.0
60,0.0,1.0,0.61,0.71,0.23,116.0
